group,variable,value
Nigeria,17,113
Nigeria,18,133
Nigeria,19,118
Nigeria,20,72
Nigeria,21,37
Nigeria,22,138
Nigeria,23,77
Nigeria,24,48
Nigeria,25,62
Nigeria,26,119
Nigeria,27,113
Nigeria,28,147
Nigeria,29,150
Nigeria,30,170
Nigeria,31,162
Pakistan,1,625
Pakistan,2,553
Pakistan,3,632
Pakistan,4,0
Pakistan,5,1111
Pakistan,6,624
Pakistan,7,583
Pakistan,8,661
Pakistan,9,671
Pakistan,10,666
Pakistan,11,385
Pakistan,12,531
Pakistan,13,615
Pakistan,14,755
Pakistan,15,659
Pakistan,16,575
Pakistan,17,567
Pakistan,18,433
Pakistan,19,582
Pakistan,20,710
Pakistan,21,736
Pakistan,22,736
Pakistan,23,847
Pakistan,24,832
Pakistan,25,707
Pakistan,26,773
Pakistan,27,825
Pakistan,28,908
Pakistan,29,1078
Pakistan,30,807
Pakistan,31,977
Russia,1,8835
Russia,2,9294
Russia,3,9735
Russia,4,10376
Russia,5,10757
Russia,6,11481
Russia,7,10981
Russia,8,11345
Russia,9,11969
Russia,10,12673
Russia,11,13442
Russia,12,13406
Russia,13,13690
Russia,14,14041
Russia,15,13556
Russia,16,14937
Russia,17,14703
Russia,18,14804
Russia,19,15843
Russia,20,16108
Russia,21,15444
Russia,22,15704
Russia,23,17077
Russia,24,16260
Russia,25,16392
Russia,26,17148
Russia,27,16342
Russia,28,15886
Russia,29,17418
Russia,30,17987
Russia,31,17834
USA,1,45650
USA,2,54950
USA,3,48577
USA,4,35738
USA,5,39376
USA,6,45289
USA,7,51056
USA,8,58599
USA,9,56384
USA,10,54953
USA,11,45981
USA,12,41774
USA,13,52231
USA,14,59778
USA,15,64880
USA,16,69147
USA,17,56759
USA,18,49367
USA,19,67717
USA,20,61956
USA,21,63301
USA,22,76310
USA,23,81933
USA,24,82767
USA,25,62204
USA,26,67310
USA,27,76838
USA,28,79426
USA,29,91019
USA,30,99264
USA,31,89754
