group,variable,value
Nigeria,26,169
Nigeria,27,246
Nigeria,28,110
Nigeria,29,82
Nigeria,30,145
Pakistan,1,1123
Pakistan,2,1167
Pakistan,3,1313
Pakistan,4,1302
Pakistan,5,1376
Pakistan,6,1502
Pakistan,7,1436
Pakistan,8,1650
Pakistan,9,1637
Pakistan,10,1708
Pakistan,11,1808
Pakistan,12,2304
Pakistan,13,2165
Pakistan,14,2443
Pakistan,15,2128
Pakistan,16,2050
Pakistan,17,2298
Pakistan,18,2547
Pakistan,19,2738
Pakistan,20,2843
Pakistan,21,2665
Pakistan,22,2756
Pakistan,23,2954
Pakistan,24,3009
Pakistan,25,3306
Pakistan,26,3113
Pakistan,27,3045
Pakistan,28,2829
Pakistan,29,2839
Pakistan,30,2458
Russia,1,18381
Russia,2,18017
Russia,3,18431
Russia,4,19483
Russia,5,19116
Russia,6,20368
Russia,7,20109
Russia,8,20248
Russia,9,21577
Russia,10,20765
Russia,11,19583
Russia,12,21333
Russia,13,21717
Russia,14,22441
Russia,15,22313
Russia,16,22562
Russia,17,22201
Russia,18,20717
Russia,19,23337
Russia,20,24059
Russia,21,24538
Russia,22,24295
Russia,23,24891
Russia,24,24087
Russia,25,23393
Russia,26,25195
Russia,27,27267
Russia,28,26809
Russia,29,26390
Russia,30,26046
USA,1,104900
USA,2,85211
USA,3,127198
USA,4,104541
USA,5,129367
USA,6,128033
USA,7,127510
USA,8,115170
USA,9,120434
USA,10,140504
USA,11,146750
USA,12,164750
USA,13,180398
USA,14,167926
USA,15,136356
USA,16,162624
USA,17,163958
USA,18,173251
USA,19,191510
USA,20,198333
USA,21,179436
USA,22,146947
USA,23,174089
USA,24,175544
USA,25,183403
USA,26,112526
USA,27,207933
USA,28,155661
USA,29,140328
USA,30,160321
